exp_id,soma_id,dend_id
20210823_16_59_50_1114353,1,33
20210823_16_59_50_1114353,1,92
20210823_16_59_50_1114353,3,60
20210823_16_59_50_1114353,4,174
20210823_16_59_50_1114353,4,61
20210823_16_59_50_1114353,4,209
20210823_16_59_50_1114353,6,88
20210823_16_59_50_1114353,6,98
20210823_16_59_50_1114353,35,48
20210920_11_09_37_1114356,7,164
20210920_11_09_37_1114356,7,154
20210920_11_09_37_1114356,8,92
20210920_11_09_37_1114356,8,121
20210920_11_09_37_1114356,18,59
20210920_11_09_37_1114356,23,132
20211203_15_10_27_1115464,8,27
20211203_15_10_27_1115464,8,41
20211203_15_10_27_1115464,8,52
20211203_15_10_27_1115464,8,72
20211203_15_10_27_1115464,12,122
20211203_15_10_27_1115464,15,136
20211216_14_36_39_1115816,1,17
20211216_14_36_39_1115816,1,20
20211216_14_36_39_1115816,1,30
20211216_14_36_39_1115816,1,35
20211216_14_36_39_1115816,1,39
20211216_14_36_39_1115816,1,133
20211216_14_36_39_1115816,1,215
20211216_14_36_39_1115816,36,158
20211216_14_36_39_1115816,36,196
20220408_15_01_57_1116663,3,2
20220408_15_01_57_1116663,4,53
20220408_15_01_57_1116663,13,58
