,exp_id,pair_id,roi_index_1,roi_type_1,roi_index_2,Z stack inspection notes,,roi_type_2,corr_r,corr_p,corr_deconv_r,corr_deconv_p,corr_noise_r,corr_noise_p,corr_event_r,corr_event_p,n_events_x,n_events_joint,n_events_roi_1,n_events_roi_2,dist,roi_id_1,roi_id_2,roi_id,roi_type,n_events_y,events_per_min,mean_event_dFonF0_amp,std_nonevent_dFonF0,snr,exp_index,implant_date,zstack_id,fibre,lens,orientation,maze_session_num,bad_2p_frames,bad_behav_times,primary_exp,exclude,Notes_x,animal_id,fps_2p,short_id,dob,sex,strain,gcamp,celltype,virus_id,hemisphere,injection_date,has_serial2p,Notes_y
0,20211203_15_10_27_1115464,20211203_15_10_27_1115464-2-70,2,soma,70,"Can't trace connection but trace clearly correlated, dendrite projecting away as expected. Img at bottom of z-stack",,dend,0.4821249346771618,0,0.4783291301161356,0,0.379117522,0,0,1,134,70,11,53,17,20211203_15_10_27_1115464_2,20211203_15_10_27_1115464_70,2,soma,48,1.5624999999999998,1.7718015313148499,0.13626003,13.003090464658907,9,19/11/2021,20211119_15_22_30_1115464,SFB,f4mm,0,2,,,1,0,Good behaviour,1115464,9.765625,7f-03,5/8/2021,m,penk,7f,penk,ADD3,R,12/10/2021,1,
1,20211203_15_10_27_1115464,20211203_15_10_27_1115464-6-31,6,soma,31,"Can't trace connection but trace clearly correlated, dendrite projecting away as expected. Img at bottom of z-stack",,dend,0.580237001,0,0.305069383,0,0.7439050843031072,0,0,1,104,92,0,12,4.242640687119285,20211203_15_10_27_1115464_6,20211203_15_10_27_1115464_31,6,soma,58,1.8880208333333333,1.9843605756759644,0.38543594,5.148353787851374,9,19/11/2021,20211119_15_22_30_1115464,SFB,f4mm,0,2,,,1,0,Good behaviour,1115464,9.765625,7f-03,5/8/2021,m,penk,7f,penk,ADD3,R,12/10/2021,1,
2,20211203_15_10_27_1115464,20211203_15_10_27_1115464-6-38,6,soma,38,"Can't trace connection but trace clearly correlated, dendrite projecting away as expected. Img at bottom of z-stack",,dend,0.5197323487323415,0,0.2763046530239749,9.08506407904e-313,0.7003001073000247,0,0,1,112,95,1,16,0,20211203_15_10_27_1115464_6,20211203_15_10_27_1115464_38,6,soma,58,1.8880208333333333,1.9843605756759644,0.38543594,5.148353787851374,9,19/11/2021,20211119_15_22_30_1115464,SFB,f4mm,0,2,,,1,0,Good behaviour,1115464,9.765625,7f-03,5/8/2021,m,penk,7f,penk,ADD3,R,12/10/2021,1,
3,20211203_15_10_27_1115464,20211203_15_10_27_1115464-11-40,11,soma,40,"Dendrite connected in image, trace clearly correlated, dendrite projecting away as expected. Img at bottom of z-stack",,dend,0.6139685635988845,0,0.37198216544942647,0,0.7063503470824744,0,0,1,142,125,2,15,0,20211203_15_10_27_1115464_11,20211203_15_10_27_1115464_40,11,soma,81,2.63671875,1.365767534132357,0.24953057,5.473347578792477,9,19/11/2021,20211119_15_22_30_1115464,SFB,f4mm,0,2,,,1,0,Good behaviour,1115464,9.765625,7f-03,5/8/2021,m,penk,7f,penk,ADD3,R,12/10/2021,1,
4,20211203_15_10_27_1115464,20211203_15_10_27_1115464-16-50,16,soma,50,"Can't trace connection but trace clearly correlated, dendrite projecting away as expected. Img at bottom of z-stack",,dend,0.7107883369685992,0,0.6336959803349729,0,0.7966347523622448,0,0,1,143,132,1,10,7.0710678118654755,20211203_15_10_27_1115464_16,20211203_15_10_27_1115464_50,16,soma,115,3.743489583333333,2.112582404717155,0.24586873,8.592318452,9,19/11/2021,20211119_15_22_30_1115464,SFB,f4mm,0,2,,,1,0,Good behaviour,1115464,9.765625,7f-03,5/8/2021,m,penk,7f,penk,ADD3,R,12/10/2021,1,
5,20220408_15_01_57_1116663,20220408_15_01_57_1116663-0-57,0,soma,57,Hard to find neuorns in zstack - retry later,,dend,0.7326262122210055,0,0.3356330472279594,0,0.8533525490323887,0,0,1,57,52,0,5,1,20220408_15_01_57_1116663_0,20220408_15_01_57_1116663_57,0,soma,42,1.3671875,2.6302994943800426,0.2382498,11.04009138517118,11,6/4/2022,20220406_18_02_09_1116663,SFB,f4mm,0,1,,6:35-7:25;10:30-11:00;12:30-15:30;21:10-21:40;22:30-29:40,1,0,,1116663,9.765625,7f-04,30/12/2021,m,penk,8f,penk,ADD3,R,3/3/2022,1,
6,20220408_15_01_57_1116663,20220408_15_01_57_1116663-1-71,1,soma,71,,,dend,0.3390634027458025,0,0.44082565900394327,0,0.33767346752072513,0,0,1,114,45,3,66,29.410882339705484,20220408_15_01_57_1116663_1,20220408_15_01_57_1116663_71,1,soma,40,1.3020833333333333,2.376006967,0.18226692,13.035864962965979,11,6/4/2022,20220406_18_02_09_1116663,SFB,f4mm,0,1,,6:35-7:25;10:30-11:00;12:30-15:30;21:10-21:40;22:30-29:40,1,0,,1116663,9.765625,7f-04,30/12/2021,m,penk,8f,penk,ADD3,R,3/3/2022,1,
7,20220408_15_01_57_1116663,20220408_15_01_57_1116663-1-98,1,soma,98,,,dend,0.427212652,0,0.40079836004801994,0,0.38069906108587964,0,0,1,114,48,0,66,19.313207915827967,20220408_15_01_57_1116663_1,20220408_15_01_57_1116663_98,1,soma,40,1.3020833333333333,2.376006967,0.18226692,13.035864962965979,11,6/4/2022,20220406_18_02_09_1116663,SFB,f4mm,0,1,,6:35-7:25;10:30-11:00;12:30-15:30;21:10-21:40;22:30-29:40,1,0,,1116663,9.765625,7f-04,30/12/2021,m,penk,8f,penk,ADD3,R,3/3/2022,1,
8,20220408_15_01_57_1116663,20220408_15_01_57_1116663-4-45,4,soma,45,Dend connected 2 soma,,dend,0.2585366093600533,9.808493360147652e-273,0.15562707557670144,5.754188884410155e-98,0.2042974644721687,6.960616797297952e-169,0,1,155,80,23,52,74.81310045707235,20220408_15_01_57_1116663_4,20220408_15_01_57_1116663_45,4,soma,47,1.5299479166666665,0.960588885,0.09868962,9.733433511122792,11,6/4/2022,20220406_18_02_09_1116663,SFB,f4mm,0,1,,6:35-7:25;10:30-11:00;12:30-15:30;21:10-21:40;22:30-29:40,1,0,,1116663,9.765625,7f-04,30/12/2021,m,penk,8f,penk,ADD3,R,3/3/2022,1,
9,20220408_15_01_57_1116663,20220408_15_01_57_1116663-5-45,5,soma,45,Dend connected 2 soma,,dend,0.16889826407394162,2.7325983844375344e-115,0.1445644307487127,1.1755942519122427e-84,0.24671892847327642,8.699476925439662e-248,0,1,187,91,44,52,25.495097567963924,20220408_15_01_57_1116663_5,20220408_15_01_57_1116663_45,5,soma,82,2.669270833333333,0.47311361206740865,0.055392984,8.541038509458556,11,6/4/2022,20220406_18_02_09_1116663,SFB,f4mm,0,1,,6:35-7:25;10:30-11:00;12:30-15:30;21:10-21:40;22:30-29:40,1,0,,1116663,9.765625,7f-04,30/12/2021,m,penk,8f,penk,ADD3,R,3/3/2022,1,
