,exp_id,pair_id,roi_index_1,roi_type_1,roi_index_2,roi_type_2,corr_r,corr_p,corr_deconv_r,corr_deconv_p,corr_noise_r,corr_noise_p,corr_event_r,corr_event_p,n_events_x,n_events_joint,n_events_roi_1,n_events_roi_2,dist,roi_id_1,roi_id_2,roi_id,roi_type,n_events_y,events_per_min,mean_event_dFonF0_amp,std_nonevent_dFonF0,snr,exp_index,implant_date,zstack_id,fibre,lens,orientation,maze_session_num,bad_2p_frames,bad_behav_times,primary_exp,exclude,Notes_x,animal_id,fps_2p,short_id,dob,sex,strain,gcamp,celltype,virus_id,hemisphere,injection_date,has_serial2p,Notes_y,exp_id_roi_id
0,20210823_16_59_50_1114353,20210823_16_59_50_1114353-2-43,2,soma,43,dend,0.3732443797886344,0.0,0.22068936545280332,1.9662038075860634e-197,0.4888486039796038,0.0,0.0,1.0,52,45,0,7,34.438350715445125,20210823_16_59_50_1114353_2,20210823_16_59_50_1114353_43,2,soma,50.0,1.6075102880658332,1.8784095406532288,0.2716362,6.91516676873736,1,2/8/2021,20210823_16_39_11_1114353,SFB,f4mm,0,2.0,,11:10-11:30;13:20-21:00;22:30-24:40;27:00-end,1,0,Good,1114353,9.765625,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,,20210823_16_59_50_1114353_2
1,20210823_16_59_50_1114353,20210823_16_59_50_1114353-3-106,3,soma,106,dend,0.4971379989244791,0.0,0.36190633456221727,0.0,0.5257938961146652,0.0,0.0,1.0,72,70,0,2,25.0,20210823_16_59_50_1114353_3,20210823_16_59_50_1114353_106,3,soma,84.0,2.7006172839505997,2.744009548709506,0.28685325,9.565900027149967,1,2/8/2021,20210823_16_39_11_1114353,SFB,f4mm,0,2.0,,11:10-11:30;13:20-21:00;22:30-24:40;27:00-end,1,0,Good,1114353,9.765625,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,,20210823_16_59_50_1114353_3
2,20210823_16_59_50_1114353,20210823_16_59_50_1114353-3-111,3,soma,111,dend,0.9057271064010868,0.0,0.7235522770885687,0.0,0.9248276608027409,0.0,0.0,1.0,76,76,0,0,0.0,20210823_16_59_50_1114353_3,20210823_16_59_50_1114353_111,3,soma,84.0,2.7006172839505997,2.744009548709506,0.28685325,9.565900027149967,1,2/8/2021,20210823_16_39_11_1114353,SFB,f4mm,0,2.0,,11:10-11:30;13:20-21:00;22:30-24:40;27:00-end,1,0,Good,1114353,9.765625,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,,20210823_16_59_50_1114353_3
3,20210823_16_59_50_1114353,20210823_16_59_50_1114353-5-66,5,soma,66,dend,0.49385802414093943,0.0,0.5466014732664848,0.0,0.34695026374150467,0.0,0.0,1.0,48,44,3,1,2.23606797749979,20210823_16_59_50_1114353_5,20210823_16_59_50_1114353_66,5,soma,63.0,2.02546296296295,1.5008288697590904,0.13157725,11.406446263639468,1,2/8/2021,20210823_16_39_11_1114353,SFB,f4mm,0,2.0,,11:10-11:30;13:20-21:00;22:30-24:40;27:00-end,1,0,Good,1114353,9.765625,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,,20210823_16_59_50_1114353_5
4,20210823_16_59_50_1114353,20210823_16_59_50_1114353-7-52,7,soma,52,dend,0.7854530046995546,0.0,0.44824381303802097,0.0,0.9462346801515034,0.0,0.0,1.0,37,37,0,0,3.605551275463989,20210823_16_59_50_1114353_7,20210823_16_59_50_1114353_52,7,soma,96.0,3.0864197530863997,1.2347118419905503,0.26430345,4.671569219154002,1,2/8/2021,20210823_16_39_11_1114353,SFB,f4mm,0,2.0,,11:10-11:30;13:20-21:00;22:30-24:40;27:00-end,1,0,Good,1114353,9.765625,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,,20210823_16_59_50_1114353_7
5,20210823_16_59_50_1114353,20210823_16_59_50_1114353-8-74,8,soma,74,dend,0.43459504983703207,0.0,0.41032186396846226,0.0,0.5305258031526432,0.0,0.0,1.0,65,61,0,4,28.284271247461902,20210823_16_59_50_1114353_8,20210823_16_59_50_1114353_74,8,soma,60.0,1.9290123456789998,1.9733360360066097,0.2071798,9.524751153795817,1,2/8/2021,20210823_16_39_11_1114353,SFB,f4mm,0,2.0,,11:10-11:30;13:20-21:00;22:30-24:40;27:00-end,1,0,Good,1114353,9.765625,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,,20210823_16_59_50_1114353_8
6,20210823_16_59_50_1114353,20210823_16_59_50_1114353-10-29,10,soma,29,dend,0.395168764680889,0.0,0.15264893988089,2.778133089706664e-94,0.627522981230302,0.0,0.0,1.0,36,35,0,1,11.180339887498949,20210823_16_59_50_1114353_10,20210823_16_59_50_1114353_29,10,soma,52.0,1.6718106995884665,0.9534642134721463,0.23582529,4.0430957698047285,1,2/8/2021,20210823_16_39_11_1114353,SFB,f4mm,0,2.0,,11:10-11:30;13:20-21:00;22:30-24:40;27:00-end,1,0,Good,1114353,9.765625,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,,20210823_16_59_50_1114353_10
7,20210823_16_59_50_1114353,20210823_16_59_50_1114353-10-106,10,soma,106,dend,0.3964851305386128,0.0,0.13285754108012227,1.1196999129937318e-71,0.6077718778374912,0.0,0.0,1.0,73,44,0,29,0.0,20210823_16_59_50_1114353_10,20210823_16_59_50_1114353_106,10,soma,52.0,1.6718106995884665,0.9534642134721463,0.23582529,4.0430957698047285,1,2/8/2021,20210823_16_39_11_1114353,SFB,f4mm,0,2.0,,11:10-11:30;13:20-21:00;22:30-24:40;27:00-end,1,0,Good,1114353,9.765625,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,,20210823_16_59_50_1114353_10
8,20211028_11_25_50_1115465,20211028_11_25_50_1115465-4-39,4,soma,39,dend,0.4951303774353802,0.0,0.5191134653839315,0.0,0.4242685782099316,0.0,0.0,1.0,56,43,1,12,4.0,20211028_11_25_50_1115465_4,20211028_11_25_50_1115465_39,4,soma,65.0,2.1158854166666665,1.332619926104179,0.115873285,11.500665837412376,6,,20211027_14_46_16_1115465,SFB,f4mm,180,,,6:15-8:00;20:00-27:30,1,0,Good 2p. Restricted by tether at 10 mins but can still move.,1115465,9.765625,7f-03-1,5/8/2021,m,penk,7f,penk,ADD3,R,13/10/2021,1,,20211028_11_25_50_1115465_4
9,20211028_11_25_50_1115465,20211028_11_25_50_1115465-11-5,11,soma,5,dend,0.7402380300617762,0.0,0.5194067701589933,0.0,0.8179226110982246,0.0,0.0,1.0,85,85,0,0,0.0,20211028_11_25_50_1115465_11,20211028_11_25_50_1115465_5,11,soma,72.0,2.34375,1.8884029570553038,0.30446583,6.20234774796515,6,,20211027_14_46_16_1115465,SFB,f4mm,180,,,6:15-8:00;20:00-27:30,1,0,Good 2p. Restricted by tether at 10 mins but can still move.,1115465,9.765625,7f-03-1,5/8/2021,m,penk,7f,penk,ADD3,R,13/10/2021,1,,20211028_11_25_50_1115465_11
